full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,neo,pha,diameter,diameter_sigma
13904 Univinnitsa (1975 TJ3),2.775,0.2976,8.20,35.08,34.57,1.949,3.60,4.62,17281,0,1653,,,14.08,N,N,10.294,0.36
13913 (1979 SO),2.778,0.2273,8.15,8.35,351.05,2.146,3.41,4.63,15830,0,2421,,,13.69,N,N,11.746,0.15
13914 Galegant (1980 LC1),2.578,0.2701,13.49,98.74,233.93,1.882,3.27,4.14,15593,0,2935,,,13.43,N,N,11.919,0.41
13917 Correggia (1984 EQ),3.067,0.1928,13.65,345.62,99.86,2.476,3.66,5.37,13999,0,2440,,,12.99,N,N,12.730,0.09
13931 (1988 RF13),2.755,0.1444,17.09,31.15,270.84,2.357,3.15,4.57,12551,0,1812,,,14.08,N,N,10.417,0.13
13933 Charleville (1988 VE1),2.775,0.1430,8.31,45.30,267.51,2.378,3.17,4.62,12497,0,2909,,,13.25,N,N,11.092,0.14
13936 (1989 HC),3.205,0.0055,22.65,82.41,309.30,3.187,3.22,5.74,12402,0,2980,,,12.22,N,N,19.697,0.15
13945 (1990 OH2),3.176,0.1773,4.76,349.17,278.56,2.613,3.74,5.66,13640,0,2854,,,12.92,N,N,16.653,0.27
13948 (1990 QB6),2.404,0.2316,12.42,358.66,319.83,1.847,2.96,3.73,15779,0,2714,,,13.94,N,N,10.088,0.10
13962 Delambre (1991 PO4),3.191,0.1812,2.07,154.19,233.92,2.613,3.77,5.7,19457,0,2826,,,13.23,N,N,12.064,0.13
13964 La Billardiere (1991 PO5),3.21,0.1541,0.59,248.07,121.18,2.716,3.71,5.75,11494,0,2235,,,13.56,N,N,11.380,0.20
13968 (1991 RE7),3.187,0.1524,17.54,7.79,278.13,2.701,3.67,5.69,11468,0,3160,,,12.24,N,N,18.386,0.20
13979 (1992 JH3),2.614,0.2218,3.53,208.68,60.63,2.034,3.19,4.23,11215,0,2610,,,14.20,N,N,11.054,0.31
13980 Neuhauser (1992 NS),2.663,0.1785,10.92,218.08,63.92,2.188,3.14,4.35,11009,0,2704,,,13.79,N,N,10.404,0.07
13983 (1992 RJ5),3.079,0.1636,3.38,80.96,279.55,2.575,3.58,5.4,11098,0,1642,,,14.30,N,N,11.193,0.20
13986 (1992 WA4),3.213,0.1416,6.37,72.80,310.44,2.758,3.67,5.76,13260,0,2207,,,13.25,N,N,12.139,0.14
14006 Sakamotofumio (1993 SA4),2.721,0.1805,8.60,177.98,173.07,2.230,3.21,4.49,21971,0,2919,,,13.27,N,N,11.428,0.04
14009 (1993 TQ36),2.799,0.1372,10.50,65.99,329.08,2.415,3.18,4.68,13476,0,2500,,,13.26,N,N,12.827,0.14
14012 Amedee (1993 XG),2.867,0.1252,13.83,97.95,295.51,2.508,3.23,4.85,10643,0,2836,,,12.52,N,N,10.772,0.16
14035 (1995 CJ),3.057,0.2111,14.50,126.59,114.01,2.412,3.70,5.34,11330,0,2301,,,13.52,N,N,13.272,0.20
14037 Takakikasahara (1995 EZ7),2.846,0.0711,9.54,208.87,333.14,2.643,3.05,4.8,18911,0,2924,,,13.20,N,N,12.857,0.21
14039 (1995 KZ1),3.206,0.0880,16.11,224.34,13.08,2.924,3.49,5.74,13646,0,2921,,,12.47,N,N,18.768,0.30
14072 Volterra (1996 KN),3.156,0.1599,1.85,37.96,11.45,2.651,3.66,5.61,11013,0,2381,,,13.57,N,N,11.558,0.05
14075 Kenwill (1996 OJ),3.116,0.1656,2.15,126.47,158.71,2.600,3.63,5.5,11216,0,2044,,,13.89,N,N,10.259,0.15
14076 (1996 OO1),3.045,0.0866,8.10,326.51,267.09,2.781,3.31,5.31,9485,0,2372,,,13.34,N,N,13.724,0.16
14077 Volfango (1996 PF1),3.11,0.1240,4.88,359.67,253.43,2.724,3.50,5.48,12136,0,1919,,,13.88,N,N,10.391,0.26
14099 (1997 RQ3),3.187,0.1738,2.43,133.56,193.73,2.633,3.74,5.69,15472,0,2159,,,13.40,N,N,11.163,0.27
14104 Delpino (1997 TV),3.165,0.0560,9.03,358.88,258.20,2.988,3.34,5.63,13232,0,1584,,,13.86,N,N,10.560,0.35
14113 (1998 QD32),3.092,0.2575,17.56,142.87,231.70,2.296,3.89,5.44,15265,0,2696,,,13.05,N,N,11.707,3.31
14120 Espenak (1998 QJ54),2.384,0.0885,5.99,222.87,213.47,2.173,2.59,3.68,15150,0,2929,,,13.77,N,N,13.20,1.40
14165 (1998 UZ),2.622,0.1976,12.10,214.83,266.51,2.104,3.14,4.25,25370,0,2419,,,13.72,N,N,10.435,0.19
14167 (1998 UL8),3.093,0.1565,2.56,87.25,5.51,2.609,3.58,5.44,12632,0,2534,,,13.51,N,N,11.396,0.15
14168 (1998 UR15),3.168,0.1560,0.65,7.79,75.28,2.673,3.66,5.64,12397,0,2570,,,13.35,N,N,12.618,4.68
14171 (1998 VO6),2.758,0.0900,6.11,289.49,154.91,2.510,3.01,4.58,14855,0,2531,,,13.57,N,N,14.052,0.15
14181 Koromhazi (1998 WX6),2.714,0.1591,8.91,72.73,36.79,2.282,3.15,4.47,33044,0,2667,,,13.46,N,N,11.174,0.20
14186 Virgiliofos (1998 XP2),3.161,0.1017,1.78,93.27,48.97,2.840,3.48,5.62,11555,0,2673,,,13.28,N,N,12.398,0.12
14190 Soldan (1998 XS15),3.022,0.0888,4.59,91.93,29.90,2.754,3.29,5.25,14464,0,2608,,,13.31,N,N,12.909,0.06
14194 (1998 XU50),2.918,0.2219,7.22,300.68,310.34,2.271,3.57,4.99,15107,0,2973,,,13.21,N,N,12.152,0.11
14195 (1998 XD51),3.973,0.1296,7.74,318.22,192.36,3.458,4.49,7.92,11280,0,2627,,,12.02,N,N,21.065,0.42
14206 Sehnal (1999 CL10),3.224,0.1740,8.43,117.19,233.67,2.663,3.79,5.79,13669,0,2734,,,13.07,N,N,14.546,0.26
14207 (1999 CS18),3.001,0.0363,10.94,100.71,166.69,2.892,3.11,5.2,15980,0,3323,,,12.41,N,N,12.034,0.11
14208 (1999 CR64),2.589,0.1647,12.81,198.07,134.81,2.163,3.02,4.17,11165,0,3384,,,13.12,N,N,18.52,2.10
14213 (1999 NX54),2.715,0.0280,25.14,158.71,184.69,2.639,2.79,4.47,16517,0,3164,,,12.94,N,N,12.642,0.20
14220 Alexgibbs (1999 VE115),2.667,0.1645,10.87,305.16,326.05,2.228,3.11,4.36,19877,0,3253,,,12.60,N,N,21.031,0.12
14227 (1999 XW85),3.107,0.1201,2.25,132.90,85.17,2.734,3.48,5.48,14214,0,3203,,,12.65,N,N,17.639,0.26
14235 (1999 XA187),5.144,0.0859,8.67,41.38,25.65,4.702,5.59,11.7,11629,0,2079,,,11.46,N,N,28.530,0.59
14241 (2000 AO5),3.128,0.1887,2.39,113.15,117.66,2.537,3.72,5.53,18188,0,2718,,,13.03,N,N,15.042,0.25
14248 (2000 AF56),3.165,0.1782,1.41,146.52,206.66,2.601,3.73,5.63,15085,0,2407,,,13.51,N,N,11.199,0.16
14249 (2000 AW57),3.158,0.0369,10.06,311.03,107.36,3.041,3.27,5.61,12829,0,2449,,,13.05,N,N,11.611,0.12
14255 (2000 AS70),2.798,0.2199,8.77,118.81,299.33,2.183,3.41,4.68,18668,0,2757,,,13.34,N,N,12.674,0.17
14264 (2000 AH142),3.18,0.0615,9.15,173.52,260.17,2.984,3.38,5.67,17281,0,2021,,,13.52,N,N,12.410,0.21
14268 (2000 AK156),5.207,0.0911,15.00,284.43,128.46,4.733,5.68,11.9,13226,0,2504,,,10.59,N,N,57.54,4.40
14274 Landstreet (2000 BL21),3.184,0.1283,16.67,313.38,24.58,2.776,3.59,5.68,16813,0,2611,,,12.63,N,N,20.659,0.21
14315 Ogawamachi (1977 EL5),3.157,0.1027,21.21,178.26,108.02,2.832,3.48,5.61,16596,0,2781,,,12.88,N,N,14.974,0.29
14316 Higashichichibu (1977 ES7),3.2,0.0865,15.26,356.33,142.44,2.923,3.48,5.73,16755,0,2911,,,12.65,N,N,17.641,0.16
14341 (1983 RV3),2.731,0.1661,5.42,175.59,144.77,2.277,3.18,4.51,14377,0,2617,,,13.86,N,N,12.620,0.05
14342 Iglika (1984 SL),2.735,0.3034,9.71,156.83,229.42,1.905,3.57,4.52,13969,0,3288,,,12.72,N,N,14.220,0.14
14346 Zhilyaev (1985 QG5),3.169,0.1492,1.66,66.60,286.62,2.696,3.64,5.64,13426,0,2250,,,13.33,N,N,12.783,0.30
14349 Nikitamikhalkov (1985 UQ4),3.261,0.1179,2.72,124.01,269.25,2.876,3.64,5.89,13609,0,2125,,,13.37,N,N,12.380,0.27
14360 Ipatov (1988 CV4),3.187,0.1600,18.19,181.85,148.09,2.677,3.70,5.69,12766,0,1767,,,13.38,N,N,16.595,0.22
14380 (1989 UC6),2.638,0.2408,28.51,37.52,254.88,2.003,3.27,4.28,24374,0,2729,,,13.45,N,N,17.541,0.05
14389 (1990 QR5),3.199,0.1637,2.61,125.58,171.38,2.675,3.72,5.72,18545,0,2308,,,13.34,N,N,11.716,0.33
14390 (1990 QP10),3.247,0.1015,6.56,5.92,312.07,2.918,3.58,5.85,18022,0,3078,,,12.48,N,N,10.767,0.19
14394 (1990 SP15),3.228,0.0687,15.64,192.93,65.41,3.006,3.45,5.8,11817,0,3037,,,12.25,N,N,21.248,0.19
14406 (1991 PP8),3.138,0.1536,2.43,78.65,252.71,2.656,3.62,5.56,12380,0,1834,,,13.94,N,N,10.252,0.26
14409 (1991 RM1),3.202,0.2134,27.86,36.51,258.09,2.518,3.88,5.73,25580,0,2597,,,12.21,N,N,19.785,0.21
14410 (1991 RR1),3.056,0.1349,9.48,229.30,99.89,2.644,3.47,5.34,11348,0,2701,,,12.82,N,N,10.307,0.44
14424 Laval (1991 SR3),3.144,0.1272,21.77,19.55,64.19,2.744,3.54,5.57,14378,0,2430,,,12.73,N,N,12.943,0.09
14426 Katotsuyoshi (1991 UO2),2.324,0.1970,4.75,112.94,290.68,1.866,2.78,3.54,13821,0,2822,,,13.91,N,N,10.755,0.07
14428 Lazaridis (1991 VM12),3.182,0.1812,1.60,66.60,275.38,2.606,3.76,5.68,11367,0,2036,,,13.43,N,N,10.667,0.23
14446 Kinkowan (1992 UP6),2.972,0.1655,12.86,218.16,156.78,2.480,3.46,5.12,14651,0,3259,,,12.52,N,N,11.571,0.31
14448 (1992 VQ),3.094,0.1867,1.66,123.50,290.30,2.516,3.67,5.44,14835,0,2271,,,13.69,N,N,11.050,0.12
14451 (1992 WR5),3.058,0.1420,9.56,261.17,112.94,2.624,3.49,5.35,16685,0,2558,,,12.61,N,N,10.549,0.07
14456 (1993 FK20),3.238,0.1469,17.29,190.42,124.23,2.762,3.71,5.83,11556,0,1751,,,13.71,N,N,11.364,0.17
14465 (1993 NB),2.441,0.2281,14.21,130.01,205.64,1.884,3.00,3.81,24642,0,3499,,,12.91,N,N,11.107,0.15
14478 (1994 CF2),3.167,0.1686,2.25,121.96,357.95,2.633,3.70,5.64,18966,0,2557,,,13.38,N,N,10.723,0.09
14479 Plekhanov (1994 CQ13),3.153,0.1369,5.90,49.01,289.48,2.721,3.58,5.6,10562,0,2187,,,13.40,N,N,10.605,0.26
14492 Bistar (1994 VM6),2.744,0.2460,7.29,239.52,143.44,2.069,3.42,4.55,18777,0,2030,,,13.90,N,N,11.201,0.14
14495 (1995 AK1),2.654,0.3176,9.78,81.26,339.24,1.811,3.50,4.32,12021,0,2660,,,13.32,N,N,10.367,0.62
14518 (1996 RZ30),5.262,0.1457,6.48,179.01,254.64,4.495,6.03,12.1,9632,0,1268,,,12.17,N,N,17.245,0.88
14519 Ural (1996 TT38),3.203,0.1483,2.36,98.11,124.08,2.728,3.68,5.73,14971,0,2156,,,13.59,N,N,10.224,0.19
14535 Kazuyukihanda (1997 RF),3.214,0.2021,23.55,170.00,300.14,2.565,3.86,5.76,12756,0,1962,,,13.52,N,N,17.925,4.13
14551 Itagaki (1997 UN8),2.75,0.2200,7.07,25.50,259.69,2.145,3.36,4.56,14385,0,2362,,,13.63,N,N,10.364,0.16
14554 (1997 UE25),3.135,0.1562,3.36,102.77,283.11,2.645,3.62,5.55,11233,0,1893,,,13.66,N,N,10.699,0.17
14556 (1997 VN1),3.216,0.1391,1.33,168.61,230.46,2.769,3.66,5.77,13677,0,2555,,,13.60,N,N,10.247,0.25
14564 Heasley (1998 BX13),2.847,0.2264,4.72,114.17,181.35,2.203,3.49,4.8,16577,0,2619,,,13.46,N,N,11.623,0.08
14566 Hokule'a (1998 MY7),2.608,0.2540,10.57,255.62,60.55,1.945,3.27,4.21,11548,0,1835,,,14.02,N,N,10.809,0.08
14569 (1998 QB32),3.996,0.2845,10.87,345.95,36.98,2.860,5.13,7.99,17750,0,1869,,,12.54,N,N,18.173,0.57
14612 Irtish (1998 SG164),3.154,0.0972,7.32,140.95,76.73,2.847,3.46,5.6,17722,0,2844,,,12.92,N,N,16.447,0.30
14622 Arcadiopoveda (1998 UN18),3.169,0.1594,27.29,132.56,313.48,2.664,3.67,5.64,15029,0,2058,,,13.42,N,N,12.751,0.11
14625 (1998 UH31),2.625,0.1417,14.34,61.85,348.54,2.253,3.00,4.25,25882,0,3030,,,12.29,N,N,10.049,0.26
14631 Benbryan (1998 VS32),3.149,0.0791,15.28,91.23,162.59,2.900,3.40,5.59,18831,0,3885,,,12.18,N,N,17.461,0.23
14634 (1998 VE37),2.771,0.1825,9.06,8.46,85.32,2.265,3.28,4.61,15357,0,1654,,,14.23,N,N,10.218,0.18
14648 (1998 XV49),3.161,0.1073,12.45,33.35,192.83,2.822,3.50,5.62,11956,0,2604,,,13.01,N,N,13.008,0.32
14649 (1998 XW62),3.002,0.0869,18.29,26.39,55.05,2.741,3.26,5.2,17669,0,2545,,,12.97,N,N,12.570,0.17
14651 (1998 YE5),3.169,0.1841,2.76,105.11,153.19,2.586,3.75,5.64,14336,0,2677,,,13.16,N,N,12.646,0.30
14654 Rajivgupta (1998 YV16),3.149,0.1466,1.47,157.92,264.93,2.687,3.61,5.59,24740,0,2123,,,13.64,N,N,10.567,0.14
14658 (1999 AC10),2.985,0.0917,8.96,278.32,40.10,2.711,3.26,5.16,11478,0,2560,,,12.96,N,N,10.461,0.19
14664 Vandervelden (1999 BY25),3.145,0.0545,15.84,332.57,17.15,2.974,3.32,5.58,16527,0,2489,,,13.09,N,N,13.675,0.09
14669 Beletic (1999 DC),3.989,0.1290,5.77,195.53,247.99,3.475,4.50,7.97,18374,0,2786,,,11.58,N,N,16.109,0.66
14672 (1999 RO94),3.025,0.0442,10.64,20.83,161.23,2.891,3.16,5.26,17097,0,2826,,,12.75,N,N,10.126,0.80
14690 (2000 AR25),5.213,0.0319,4.45,1.47,8.14,5.047,5.38,11.9,13205,0,3177,,,10.66,N,N,43.169,0.74
14691 (2000 AK119),2.615,0.1502,12.22,270.08,20.14,2.222,3.01,4.23,24507,0,3331,,,12.06,N,N,12.529,0.25
14692 (2000 AG133),3.005,0.0600,9.61,353.04,112.04,2.825,3.19,5.21,17779,0,2673,,,12.63,N,N,12.379,0.11
14699 Klarasmi (2000 AV239),2.796,0.2540,6.11,291.27,107.28,2.086,3.51,4.67,19114,0,2482,,,13.39,N,N,16.195,0.41
14705 (2000 CG2),2.774,0.1722,13.02,5.07,318.83,2.296,3.25,4.62,15779,0,2817,,,12.94,N,N,15.097,0.11
14707 (2000 CC20),5.244,0.0426,13.65,156.05,286.71,5.021,5.47,12,16779,0,1959,,,11.42,N,N,25.942,0.28
14709 (2000 CO29),2.669,0.0853,4.62,175.49,65.90,2.441,2.90,4.36,11501,0,2399,,,14.04,N,N,10.086,0.14
14715 (2000 CD71),3.169,0.0524,8.21,317.29,285.43,3.003,3.33,5.64,12756,0,2287,,,13.26,N,N,12.829,0.23
14716 (2000 CX81),3.197,0.1606,2.39,119.15,207.14,2.684,3.71,5.72,19427,0,2319,,,13.26,N,N,12.919,0.11
14717 (2000 CJ82),3.168,0.1482,8.46,133.03,76.17,2.698,3.64,5.64,14590,0,2654,,,12.67,N,N,19.663,0.26
14722 (2000 CK92),3.17,0.0696,8.93,347.21,321.08,2.949,3.39,5.64,16729,0,2270,,,13.21,N,N,12.728,0.21
14723 (2000 CB93),3.132,0.1919,16.77,351.86,95.71,2.531,3.73,5.54,14376,0,2340,,,13.20,N,N,13.260,0.07
14725 (2000 DC3),3.217,0.0544,11.63,51.76,352.54,3.042,3.39,5.77,13205,0,2146,,,13.10,N,N,10.951,0.07
14726 (2000 DD3),3.087,0.0270,8.65,112.68,331.36,3.003,3.17,5.42,24712,0,3069,,,12.78,N,N,19.453,0.15
14736 (2000 DW97),3.056,0.1410,9.22,9.89,8.82,2.625,3.49,5.34,16656,0,2287,,,13.35,N,N,14.142,0.13
14739 Edgarchavez (2000 EF21),2.986,0.1219,9.63,241.63,140.03,2.622,3.35,5.16,12782,0,2773,,,12.92,N,N,10.045,0.13
14740 (2000 ED32),3.055,0.1444,5.49,13.13,303.21,2.613,3.50,5.34,14889,0,2211,,,13.57,N,N,12.106,0.28
14758 (6519 P-L),3.035,0.1857,3.42,29.20,93.14,2.471,3.60,5.29,22589,0,2311,,,13.50,N,N,11.481,0.04
14771 (4105 T-1),3.226,0.1504,1.30,147.65,133.08,2.741,3.71,5.79,18936,0,2171,,,13.61,N,N,11.224,0.28
14789 GAISH (1969 TY1),3.123,0.0940,5.82,200.19,162.22,2.829,3.42,5.52,19286,0,2820,,,13.03,N,N,15.256,0.21
14790 Beletskij (1970 OF),2.696,0.3118,6.25,321.11,31.70,1.856,3.54,4.43,18939,0,2577,,,13.64,N,N,10.184,0.08
14791 Atreus (1973 SU),5.151,0.1621,2.94,194.76,186.29,4.316,5.99,11.7,18025,0,1756,,,11.94,N,N,22.330,0.36
14792 Thyestes (1973 SG1),5.183,0.0842,11.37,154.77,245.68,4.746,5.62,11.8,18024,0,1208,,,12.26,N,N,19.176,0.53
14795 Syoyou (1977 EE7),3.041,0.2367,2.75,346.54,300.84,2.321,3.76,5.3,16744,0,2640,,,13.46,N,N,10.100,0.19
14796 (1977 XF2),3.171,0.1293,8.19,81.65,335.55,2.761,3.58,5.65,16485,0,2366,,,13.25,N,N,13.073,0.11
14811 (1981 ED43),2.791,0.2167,7.62,10.01,293.81,2.187,3.40,4.66,24962,0,2024,,,14.01,N,N,11.062,0.01
14818 Mindeli (1982 UF7),2.908,0.1679,8.24,217.69,147.68,2.419,3.40,4.96,14705,0,2982,,,13.04,N,N,14.561,0.18
14822 (1984 SR5),3.246,0.1038,5.43,17.13,352.21,2.909,3.58,5.85,14000,0,2671,,,13.10,N,N,16.786,0.16
14826 Nicollier (1985 SC1),3.075,0.2618,2.34,10.27,311.99,2.270,3.88,5.39,33237,0,2248,,,13.72,N,N,11.598,0.17
14836 Maxfrisch (1988 CY),3.188,0.1075,15.23,143.88,78.63,2.845,3.53,5.69,14052,0,2473,,,13.16,N,N,14.348,0.14
14845 Hegel (1988 VS6),3.955,0.2410,4.90,209.09,210.31,3.001,4.91,7.86,26075,0,1551,,,13.17,N,N,13.908,0.82
14867 (1990 RW4),3.183,0.1365,4.16,302.40,345.35,2.748,3.62,5.68,11838,0,2782,,,13.13,N,N,12.831,0.31
14877 Zauberflote (1990 WC9),3.041,0.0609,12.31,65.44,331.42,2.856,3.23,5.3,26578,0,2776,,,12.75,N,N,11.420,0.17
14885 Paskoff (1991 RF2),3.093,0.0709,10.01,328.79,104.75,2.874,3.31,5.44,15356,0,3055,,,12.40,N,N,10.009,0.22
14889 (1991 VX2),3.179,0.1500,4.37,301.27,75.07,2.703,3.66,5.67,11136,0,2499,,,13.02,N,N,14.173,0.20
14902 Miyairi (1993 BE2),3.01,0.1226,11.98,97.15,271.73,2.641,3.38,5.22,20907,0,3124,,,12.42,N,N,11.555,0.19
14942 Stevebaker (1995 MA),3.183,0.0929,15.79,202.16,229.65,2.887,3.48,5.68,11426,0,2060,,,13.52,N,N,11.378,0.13
14962 Masanoriabe (1996 TL15),3.197,0.0221,21.26,207.59,339.33,3.127,3.27,5.72,16934,0,2831,,,12.37,N,N,25.708,0.23
14963 Toshikazu (1996 TM15),3.138,0.1702,1.60,140.47,193.47,2.604,3.67,5.56,11590,0,2107,,,13.78,N,N,11.641,0.29
14988 Tryggvason (1997 UA7),3.007,0.3441,8.43,52.12,319.33,1.972,4.04,5.21,33904,0,1626,,,13.66,N,N,13.665,0.39
14991 (1997 UV14),2.88,0.0300,8.11,201.12,138.55,2.794,2.97,4.89,16573,0,2885,,,13.29,N,N,15.181,0.25
14995 Archytas (1997 VY1),3.068,0.0939,3.25,224.29,155.68,2.780,3.36,5.37,11335,0,2687,,,13.16,N,N,16.045,0.28
15013 (1998 QH93),2.661,0.2282,11.23,244.93,212.06,2.054,3.27,4.34,18206,0,2275,,,13.65,N,N,10.660,0.20
15033 (1998 VY29),5.178,0.2037,12.02,258.39,165.23,4.123,6.23,11.8,26011,0,2271,,,10.74,N,N,33.292,0.50
15050 Heddal (1998 XC96),3.205,0.1223,3.90,315.12,335.58,2.813,3.60,5.74,11581,0,2112,,,13.44,N,N,12.746,0.25
15056 Barbaradixon (1998 YP12),3.001,0.0904,1.83,299.61,63.65,2.730,3.27,5.2,13255,0,2801,,,13.30,N,N,15.379,0.12
15061 (1999 AL),3.096,0.2310,7.28,147.53,246.69,2.381,3.81,5.45,14837,0,2073,,,13.43,N,N,12.083,0.12
15066 (1999 AX7),3.165,0.0449,9.07,359.75,230.25,3.023,3.31,5.63,16543,0,3624,,,12.63,N,N,21.533,0.09
15073 (1999 BK13),3.185,0.1419,15.69,165.31,253.62,2.733,3.64,5.69,15619,0,1984,,,13.17,N,N,14.836,0.20
15074 (1999 BN14),3.103,0.1216,1.99,52.05,106.23,2.725,3.48,5.46,10839,0,2380,,,13.60,N,N,11.487,0.09
15082 (1999 CT30),3.152,0.0080,9.06,339.27,119.42,3.127,3.18,5.6,15698,0,3146,,,12.51,N,N,18.076,0.15
15085 (1999 CB43),3.098,0.1330,1.96,91.29,193.16,2.686,3.51,5.45,17528,0,2966,,,13.09,N,N,13.580,0.21
15092 Beegees (1999 EH5),3.013,0.0246,9.69,355.94,127.21,2.939,3.09,5.23,17278,0,3228,,,12.22,N,N,12.012,0.27
15094 Polymele (1999 WB2),5.18,0.0968,12.98,50.32,4.77,4.679,5.68,11.8,10382,0,831,,,11.81,N,N,21.075,0.14
15097 (1999 XP38),2.95,0.0777,11.09,99.76,119.76,2.721,3.18,5.07,16062,0,3095,,,12.82,N,N,10.276,0.09
15101 (2000 AY150),2.94,0.1969,27.06,148.18,55.57,2.361,3.52,5.04,26498,0,2357,,,13.29,N,N,13.797,0.05
15102 (2000 AA202),3.234,0.0363,20.82,301.49,109.34,3.116,3.35,5.81,15885,0,3067,,,11.99,N,N,22.587,0.21
15104 (2000 BV3),2.783,0.0493,9.80,113.75,287.17,2.645,2.92,4.64,12112,0,2797,,,12.90,N,N,15.599,0.08
15108 (2000 CT61),3.191,0.0177,6.99,200.39,109.16,3.135,3.25,5.7,15890,0,2280,,,13.39,N,N,13.880,0.22
15110 (2000 CE62),3.05,0.0533,8.63,301.33,316.83,2.888,3.21,5.33,15862,0,2399,,,13.05,N,N,10.005,0.37
15114 (2000 CY101),3.121,0.1005,6.87,186.28,19.70,2.808,3.44,5.51,16201,0,2769,,,13.05,N,N,14.168,0.30
15119 (2000 DU97),3.111,0.1129,16.10,349.93,31.65,2.760,3.46,5.49,10829,0,1901,,,13.66,N,N,10.672,0.15
15123 (2000 EP36),3.163,0.1306,1.66,53.17,162.50,2.750,3.58,5.63,13206,0,3011,,,13.08,N,N,12.345,0.38
15127 (2000 EN45),2.999,0.2766,20.50,1.34,6.17,2.169,3.83,5.19,16786,0,2493,,,12.32,N,N,19.323,0.20
15134 (2000 ED92),3.216,0.1105,3.95,227.97,231.74,2.861,3.57,5.77,18935,0,2189,,,13.42,N,N,11.495,0.23
15136 (2000 EE93),3.231,0.0487,15.93,128.83,44.82,3.074,3.39,5.81,14971,0,2740,,,12.76,N,N,22.077,0.20
15147 Siegfried (2000 EJ134),3.247,0.0066,8.94,57.91,314.78,3.226,3.27,5.85,13175,0,2402,,,12.96,N,N,18.102,0.17
15153 (2000 FD17),3.104,0.1501,10.43,147.39,228.39,2.638,3.57,5.47,14819,0,2636,,,12.92,N,N,20.225,0.08
15156 (2000 FK38),3.055,0.1964,3.51,80.36,270.04,2.455,3.65,5.34,11305,0,2045,,,13.80,N,N,10.389,0.71
15161 (2000 FQ48),3.217,0.2018,18.22,230.59,99.91,2.568,3.87,5.77,26492,0,3117,,,11.68,N,N,35.539,0.30
15163 (2000 GB4),2.676,0.1365,12.70,145.30,350.08,2.311,3.04,4.38,19521,0,2517,,,13.78,N,N,10.392,0.10
15172 (3086 P-L),2.993,0.0861,9.17,245.38,64.42,2.736,3.25,5.18,22765,0,2620,,,13.02,N,N,10.018,0.20
15185 (4104 T-1),2.547,0.0961,10.52,168.06,170.43,2.302,2.79,4.06,18934,0,3333,,,13.68,N,N,13.526,3.68
15188 (3044 T-2),3.231,0.1080,2.75,123.02,344.40,2.882,3.58,5.81,18026,0,1984,,,13.60,N,N,10.560,0.15
15190 (3353 T-2),3.193,0.1836,5.21,25.98,291.56,2.607,3.78,5.71,18009,0,2463,,,13.92,N,N,11.445,0.36
15191 (4234 T-2),3.202,0.1147,5.25,29.68,259.06,2.834,3.57,5.73,18936,0,2857,,,13.20,N,N,13.291,0.56
15200 (1975 SU),3.142,0.0971,12.90,187.91,339.07,2.837,3.45,5.57,17285,0,2751,,,12.80,N,N,19.975,0.17
15213 (1980 UO1),3.14,0.0353,21.58,220.11,113.42,3.029,3.25,5.56,15217,0,1827,,,13.31,N,N,15.676,0.35
15222 (1982 FL1),3.148,0.1495,1.40,25.22,88.93,2.677,3.62,5.59,14783,0,3239,,,12.78,N,N,15.233,0.25
15225 (1985 RJ4),3.123,0.2034,2.25,33.49,314.83,2.488,3.76,5.52,17416,0,1924,,,13.85,N,N,10.382,0.37
15231 Ehdita (1987 RO5),3.942,0.2934,6.82,158.29,215.89,2.785,5.10,7.83,12663,0,2602,,,12.14,N,N,23.457,0.27
15235 (1988 DA5),3.125,0.0319,22.42,183.21,164.91,3.025,3.22,5.52,26397,0,2123,,,13.50,N,N,13.449,0.31
15245 (1989 TP16),3.116,0.1392,2.01,52.32,1.62,2.682,3.55,5.5,12154,0,2170,,,13.74,N,N,10.806,0.30
15249 Capodimonte (1989 YB5),3.15,0.1252,16.79,58.98,168.56,2.756,3.54,5.59,26728,0,2753,,,12.29,N,N,21.370,0.12
15256 (1990 RD1),3.162,0.0846,9.60,169.43,248.11,2.894,3.43,5.62,13435,0,3153,,,12.89,N,N,15.408,0.23
15258 Alfilipenko (1990 RN17),3.239,0.1646,6.73,293.86,32.85,2.706,3.77,5.83,11820,0,2173,,,13.25,N,N,12.059,0.38
15261 (1990 SV12),3.162,0.1883,2.28,62.75,324.34,2.567,3.76,5.62,13314,0,2160,,,13.64,N,N,11.096,0.22
15262 Abderhalden (1990 TG4),3.213,0.1419,0.63,5.74,288.19,2.757,3.67,5.76,15997,0,2353,,,13.47,N,N,12.201,0.55
15269 (1990 XF),2.552,0.2030,10.96,292.63,221.94,2.034,3.07,4.08,14621,0,3550,,,12.22,N,N,10.950,0.11
15278 Paquet (1991 PG7),3.985,0.2167,9.29,344.76,64.34,3.121,4.85,7.95,25043,0,2267,,,11.74,N,N,25.417,0.30
15285 (1991 RW18),3.058,0.1166,4.86,268.06,98.87,2.702,3.41,5.35,11278,0,1745,,,13.95,N,N,10.295,0.33
15290 (1991 TF1),3.177,0.1404,17.69,170.45,275.27,2.731,3.62,5.66,11235,0,1897,,,13.22,N,N,13.309,0.10
